"标题","摘要","作者","链接","发表时间","","",""
"一种植物面膜及其制备方法","摘要：本发明属于面膜技术领域,具体的说是一种植物面膜及其制备方法;其中植物面膜包括纯棉布和营养单元;营养单元安装在纯棉布上,营养单元包括条形储料囊和吸附口;通过纯棉布和营养单元的配合加强营养液在纯棉布表面的均匀分布;并且当营养液全从条形储料囊流出后,不再对条形储料囊施加压力,使得条形储料囊在自身的弹力作用下发生复位,此时条形储料囊通过吸附口对外产生吸附力,从而使得吸附口吸附在用户脸部,保证了条形储料囊的侧壁与用户脸部能够紧密接触,避免营养液受重力作用从条形储料囊和用户脸部之间的缝隙流走,从而实现了对营养液的有效利用。","邓凯","https://www.wanxiangyun.net/search/detail?id=cn202010499190","2020","","",""
"一种不含防腐剂的面膜及其制备方法","摘要：本发明公开了一种不含防腐剂的面膜及其制备方法,其中所述面膜包括包装袋、冻干粉、面膜纸和挤压管;所述包装袋的中部形成封带区,所述封带区将所述包装袋分为上下两个各自密封的区域,其中上部区域存放复苏液,下部区域存放冻干粉和面膜纸;所述挤压管包括挤压部、连接部和膨胀部,当所述膨胀部膨胀时,将所述封带区打开。本实施例的不含防腐剂的面膜,通过将具备冻干粉的面膜纸和复苏液分开存放,使得所述面膜纸中并不包括防腐剂,而且所述复苏液中也不包括防腐剂,当使用时,通过按压挤压管的挤压部使得挤压管的膨胀部膨胀,撑开所述封带区,将复苏液挤入所述具备冻干粉的面膜纸上,并复苏所述冻干粉,此时面膜即可以被使用。","李雪","https://www.wanxiangyun.net/search/detail?id=cn201710378254","2017","","",""
"一种不含防腐剂的面膜","摘要：本实用新型公开了一种不含防腐剂的面膜,包括包装袋、冻干粉、面膜纸和挤压管;所述包装袋的中部形成封带区,所述封带区将所述包装袋分为上下两个各自密封的区域,其中上部区域存放复苏液,下部区域存放冻干粉和面膜纸;所述挤压管包括挤压部、连接部和膨胀部,当所述膨胀部膨胀时,将所述封带区打开。本实施例的不含防腐剂的面膜,通过将具备冻干粉的面膜纸和复苏液分开存放,使得所述面膜纸中并不包括防腐剂,而且所述复苏液中也不包括防腐剂,当使用时,通过按压挤压管的挤压部使得挤压管的膨胀部膨胀,撑开所述封带区,将复苏液挤入所述具备冻干粉的面膜纸上,并复苏所述冻干粉,此时面膜即可以被使用。","李雪","https://www.wanxiangyun.net/search/detail?id=cn201720586112","2018","","",""
"一种含胺基酸海洋活性因子胜肽之多段释放复合微粒及其制法","摘要：本发明揭示一种含胺基酸海洋活性因子胜肽之多段释放复合微粒及其制法,该多段释放复合微粒包含一作为多段释放复合微粒架构之胜肽、复数个用於与该胜肽离子性螯合之海洋活性因子及一用於强化复合微粒架构之胺基酸。","黄庆成
									;,徐焄绫","https://www.wanxiangyun.net/search/detail?id=tw20130138235","2015","","",""
"一种以炎症为基础的脸部护肤方案推荐方法","摘要：本发明公开了一种以炎症为基础的脸部护肤方案推荐方法,其包括以下步骤:对用户采用三光谱皮肤测试仪检测脸部皮肤炎症情况,并根据检测数据和用户的皮肤性质判断用户皮肤状态,最后针对用户皮肤状态推荐适宜的护肤方案。本发明通过测定用户脸部炎症情况,结合用户皮肤性质,将维A酸等消炎抗炎成分结合基础护肤产品,有效实现消炎抗炎的效果,同时针对用户的不同需求,设计多种护肤方案,满足用户需求,实现精准护肤,以达到更好的护肤效果。","陈活记","https://www.wanxiangyun.net/search/detail?id=cn202011118058","2021","","",""
"植物来源的胞外囊泡(EV)组合物及其用途","摘要：本发明涉及包含植物来源的胞外囊泡(EV)的群体的组合物,该植物来源的胞外囊泡具有10至500nm范围内的直径并且显示出促血管生成和抗细菌活性,用于治疗应用。本发明还涉及将一种或多种带负电荷的生物活性分子加载到所述EV群体中的方法。","益生生物科技有限公司","https://www.wanxiangyun.net/search/detail?id=cn202080035269","2021","","",""
"【Title of corresponding document：us2015250709A1】 Skin Lightening Compositions","摘要：本发明公开了其使用的组合物和方法，包括益母草提取物、石斛提取物、植物氨基酸、烟酰胺、己基间苯二酚、松酯提取物、白桦提取物、合欢树皮提取物、水解柴多纳假丝酵母提取物、香菇菌丝提取物、，和/或仙人掌金枪鱼水果提取物","MARY KAY INC","https://www.wanxiangyun.net/search/detail?id=hk20160103096","2016","","",""
"油溶性胎盘提取物的制造方法","摘要：本发明提供一种包含含磷成分、能够混合于油性化妆品或者准医药品的油溶性胎盘提取物的制造方法。所述方法具有以下工序:切碎工序(20),切碎胎盘;加热工序(30),在切碎工序(20)之后,加热被切碎的胎盘;冻结干燥工序(40),在加热工序(30)之后,对胎盘进行冻结干燥;粉末化工序(50),在冻结干燥工序(40)之后,使冻结干燥后的胎盘变成粉末状;提取工序(60),在粉末化工序(50)之后,将醚添加至粉末化后的胎盘进行提取;除去工序(70),在提取工序(60)之后,将醚组分以外的物质从提取液中除去;减压干燥工序(80),在除去工序(70)之后,对提取液进行减压干燥,得到含有含磷成分的干燥物;油溶解工序(90),在减压干燥工序(80)之后,使干燥物溶解在油中。","荷鲁斯股份有限公司","https://www.wanxiangyun.net/search/detail?id=cn201780000668","2018","","",""
"油溶性胎盘萃取物之制造方法","摘要：【所欲解决之技术问题】;本发明课题在於提供一种包含含磷成分,可掺混於油性化妆品或准医药品的油溶性胎盘萃取物之制造方法。;【解决问题之技术手段】;解决手段为具有:切碎步骤20,系将胎盘切碎;加热步骤30,系於切碎步骤20之後,将切碎之胎盘加热;冷冻乾燥步骤40,系於加热步骤30之後,将胎盘冷冻乾燥;粉末化步骤50,系於冷冻乾燥步骤40之後,将经冷冻乾燥之胎盘弄成粉末状;萃取步骤60,系於粉末化步骤50之後,对粉末化之胎盘添加醚来进行萃取;去除步骤70,系於萃取步骤60之後,自萃取液中去除醚区分以外者;减压乾燥步骤80,系於去除步骤70之後,对萃取液进行减压乾燥,而得到包含含磷成分的乾燥物;及油溶解步骤90,系於减压乾燥步骤80之後,将乾燥物溶解於油中。","荷鲁斯股份有限公司","https://www.wanxiangyun.net/search/detail?id=tw20170107614","2018","","",""
"USE OF COSMETICS AGAINST INFRARED RADIATION","摘要：本发明涉及一种用于保护人类皮肤免受红外辐射的化妆品组合物的用途。本发明的特征在于使用主混合物来制备用于保护皮肤免受红外辐射的组合物，其中主混合物包括第一种植物提取物混合物，包括绿咖啡、山茶花、水芹、当归和枳壳；维生素E和C及其衍生物的第二混合物；第三种由红宝石粉、云母和二氧化钛组成的特殊材料混合物，粒度在3-10µm之间；以及用于最终合成的化妆品助剂。该组合物显示出协同效应，因为其保护程度显著高于单组物质","COTY GERMANY GMBH","https://www.wanxiangyun.net/search/detail?id=hk20140111712","2015","","",""
"用于预防或减少皮肤色素沉着和/或淡化肤色的局部组合物及其用途","摘要：本发明涉及一种局部组合物,所述局部组合物包含牡丹科植物的提取物与至少一种式(I)的化合物的组合,以及其用于预防或减少皮肤色素沉着和/或淡化肤色的用途,其中R1、R2和R3如在说明书中所定义。","莱雅公司","https://www.wanxiangyun.net/search/detail?id=cn201380077852","2016","","",""
"COSMETIC METHOD OF WHITENING SKIN AND EVENING TONE WITH AZUKI BEANS","摘要：本发明公开了一种用于美白皮肤或晚间肤色的组合物及其使用方法，其中该组合物包括海军蓝（扁豆）干粉或其水提取物","MARY KAY INC","https://www.wanxiangyun.net/search/detail?id=hk20150101670","2015","","",""
"一种含有叶黄素的防晒护肤品","摘要：一种用于防晒的含有叶黄素的防晒护肤品,含有:叶黄素,在防晒护肤品中的质量分数为0.05%~2.0%。本防晒护肤品以天然植物提取物叶黄素作为主要的防晒成分,相比起紫外屏蔽剂,更加透气,不易堵塞毛孔,相比起紫外吸收剂,成分安全无刺激无副作用,不易造成皮肤问题。同时,当叶黄素作为防晒成分与传统的紫外屏蔽剂或紫外吸收剂进行复配组合使用时,添加更少量的紫外屏蔽剂或紫外吸收剂即可以达到同样的防晒效果,降低了传统防晒成分的总添加量,从而减少传统防晒成分可能造成的各种皮肤问题。","上海美英时生物科技有限公司","https://www.wanxiangyun.net/search/detail?id=cn201310413397","2015","","",""
"MIXED BIRCH SAP AND APPLICATION THEREOF IN SKIN CARE COSMETIC COMPOSITION","摘要：一种混合的桦树汁液，由两种或两种以上不同来源的桦树汁液组成。此外，还提供了混合桦树树液在护肤化妆品组合物和包含混合桦树树液的护肤化妆品组合物中的用途，尤其是保湿化妆品组合物、美白化妆品组合物、抗皱化妆品组合物和抗炎化妆品组合物","ZHEJIANG YANGSHENGTANG INST OF NATURAL MEDICATION CO LTD","https://www.wanxiangyun.net/search/detail?id=wo2020cn102231","2021","","",""
"一种分析天然植物纯露中芳香化合物的方法","摘要：本发明提供了一种微波辅助分散破乳 分散液液微萃取技术结合气相色谱/质谱法分析天然植物纯露中芳香化合物的方法;本发明首次采用微波辅助分散破乳与分散液液微萃取技术结合,克服了传统分散液液微萃取方法中使用离心进行破乳的问题,具有操作简单、富集倍数高、耗时短等特点;采用微波辐射破乳技术,使得乳浊液迅速变澄清而不需额外的离心设备;本发明操作简便且操作时间短,可以适用于不同体积样品的前处理操作;应用本发明能结合实际,是一种能够快速高效萃取天然植物纯露中的芳香化合物的新方法,并且为提取其他植物纯露中的芳香化合物提供一个新的手段⊙","浙江工业大学","https://www.wanxiangyun.net/search/detail?id=cn201910036089","2019","","",""
"一种基于白姜花根茎提取物冷鲜肉保鲜剂及其制备方法","摘要：本发明公开了一种基于白姜花根茎提取物冷鲜肉保鲜剂,按照体积比包括以下组分:白姜花根茎提取物1份,大蒜提取液1份-10份。本发明还公开一种基于白姜花根茎提取物冷鲜肉保鲜剂的制备方法,包括:提取白姜花根茎提取物;按照常规方法提取大蒜提取液;称量白姜花根茎提取物和大蒜提取液,将白姜花根茎提取物和大蒜提取液混合,制备得到种基于白姜花根茎提取物冷鲜肉保鲜剂。本发明中使用的乙醇提取法简单方便。本发明充分利用这些废弃资源,变废为宝,开发一种高效、安全、不污染环境的天然防腐剂。本发明的推广将大大提高白姜花根茎的利用率,增加花农的经济收入,促进花卉产业的发展。","仲恺农业工程学院","https://www.wanxiangyun.net/search/detail?id=cn201510380997","2015","","",""
"带微小突起的阵列","摘要：带微小突起的阵列(1)具备基板(2)、和设置在该基板(2)上从底部向顶端部变细的锥形的微小突起(3)。当微小突起(3)的任意侧面上从顶端部至底部的距离为a、表示该距离a的第1线段在基板(2)上投影而成的第2线段的长度为b时,1.0<(a/b)≤7.5的关系成立。","久光制药株式会社
									;,凸版印刷株式会社","https://www.wanxiangyun.net/search/detail?id=cn201180026379","2013","","",""
"用多羟基烷基醇溶解芸香素（ＲＵＴＩＮ）的方法","摘要：本发明基本上系关於一种包含芸香素及至少一种多羟基烷基醇的口腔护理组成物，其提升芸香素之溶解度。本发明亦关於一种使用及制造上述口腔护理组成物的方法。 The present invention generally relates to oral care compositions which enhance the solubility of rutin comprising rutin and at least one polyhydroxyalkyl alcohol. The present invention also relates to methods for use and manufacturing said oral care compositions.","美国棕榄公司","https://www.wanxiangyun.net/search/detail?id=tw20140143996","2016","","",""
"包含热性差的功能性物质的牙刷毛及利用其的牙刷","摘要：本发明涉及包含热性差的功能性物质的微细毛牙刷的制造方法,更详细地,涉及利用多孔性吸附剂的包含热性差的功能性物质的微细毛牙刷的制造方法。","BBC有限公司","https://www.wanxiangyun.net/search/detail?id=cn201580065298","2017","","",""
"一种外敷膜3D打印装置","摘要：本实用新型实施例涉及一种外敷膜3D打印装置,包括安装座、X轴运动系统、Y轴运动系统、Z轴运动系统、机架、滑动安装座、成型单元安装部和成型单元;X轴运动系统包括X轴驱动装置、第一X轴导向机构和第二X轴导向机构;机架第一端和第二端分别滑动连接第一X轴导向机构和第二X轴导向机构,机架沿X轴方向运动;Y轴运动系统包括Y轴驱动装置和设置于机架上的Y轴导向机构;滑动安装座滑动连接Y轴导向机构,沿Y轴方向运动;Z轴运动系统包括Z轴驱动装置和设置在滑动安装座上的Z轴导向机构;成型单元安装部滑动连接Z轴导向机构,成型单元设置于成型单元安装部上,成型单元安装部沿Z轴方向运动。该打印装置适于打印个性化外敷膜。","上普(北京)生物科技有限公司","https://www.wanxiangyun.net/search/detail?id=cn201920723970","2020","","",""
"表面改性用组合物","摘要：本发明涉及一种表面改性用组合物。由于本发明的表面改性用组合物包含特定的碳化二亚胺系化合物,因此,在不损伤皮肤、毛发或者纤维的情况下形成共价键,从而半永久地提供所需的皮肤或毛发表面改性效果或者纤维护理效果。","株式会社LG生活健康","https://www.wanxiangyun.net/search/detail?id=cn201680046407","2018","","",""
"穿刺装置及其制造方法","摘要：本发明提供能谋求小型化及轻量化的穿刺装置及其制造方法。穿刺装置(1)是用以通过皮肤让活性成分转移到体内的装置。穿刺装置(1)具备筒状的壳体(H)、配置成可在壳体(H)内滑动的活塞(P)、以及配置在壳体(H)内且用以对活塞(P)赋予弹压力的圆锥线圈弹簧(40)。活塞(P)具有:活塞主体(20)、及被卡合于活塞主体(20)而与活塞主体(20)一体化的微针构件(30)。微针构件(30)具有:基板(31)、及突出设置在基板(31)表面的多支微针。","久光制药株式会社","https://www.wanxiangyun.net/search/detail?id=cn201380017762","2014","","",""
"穿刺装置","摘要：本发明提供能谋求小型化及轻量化之穿刺装置。;穿刺装置(1)系用以通过皮肤让活性成分移转到体内的装置。穿刺装置(1)具备筒状之壳体(H)、配置成可在壳体(H)内滑动之活塞(P)、以及配置在壳体(H)内且用以对活塞(P)赋予弹压力之圆锥线圈弹簧(40)。活塞(P)具有:活塞主体(20)、及被卡合於活塞主体(20)而与活塞主体(20)一体化之微针构件(30)。微针构件(30)具有:基板(31)、及突出设置在基板(31)表面之复数支微针。","久光制药股份有限公司","https://www.wanxiangyun.net/search/detail?id=tw20130112183","2014","","",""
"油性组合物","摘要：本发明提供了将有效预防或改善皮肤老化的化合物化学稳定地配制成组成物的方法。此外,本发明还提供了用于改善所述化合物在组合物中的均匀分散性的方法。通过将下述通式(1)所示的化合物、其异构体和/或它们的药学上可接受的盐分散在具有0~2个羟基的油剂中形成油性组合物,抑制所述化合物的分解。此外,所述组合物中进一步包含粉体、固态脂和/或半固态脂,抑制所述化合物在组合物内的随时间的沉降。式中,R1表示被羧基取代的碳原子数1~4的直链或支链的烷基、或者被具有碳原子数1~4的烷基链的羧酸酯基取代的碳原子数1~4的直链或支链的烷基,R2和R3分别独立地表示碳原子数1~4的直链或者支链的烷基。","宝丽化成工业有限公司","https://www.wanxiangyun.net/search/detail?id=cn201880071202","2020","","",""
"油性组成物","摘要：本发明提供一种将在皮肤老化之预防或改善上有效的化合物，以化学上安定之方式掺合於组成物中的方法。再者，提供一种在前述组成物中，提高前述化合物之均匀分散性的方法。藉由使下述通式(1)所示之化合物、其异构物及/或该等之药理学上可容许之盐分散於具有0~2个羟基之油剂中，形成油性组成物，而抑制前述化合物之分解。又，藉由使前述组成物进一步含有粉体、固体脂肪及/或半固体脂肪，而抑制在前述化合物之组成物内之经时之沉降。;[式中，R1表示经由羧基所取代的碳数1~4之直链或分枝之烷基、或经由具有碳数1~4之烷基链之羧酸酯基所取代的碳数1~4之直链或分枝之烷基，R2及R3各自独立，表示碳数1~4之直链或分枝之烷基]。","日商宝丽化成工业股份有限公司","https://www.wanxiangyun.net/search/detail?id=tw20180140347","2019","","",""
"包含反式-叔丁基环己醇作为皮肤刺激缓解剂的组合物","摘要：本发明主要涉及反式-叔丁基环己醇用作皮肤刺激缓解剂的用途以及包含反式-叔丁基环己醇作为皮肤刺激缓解剂的具有皮肤刺激缓解作用的组合物(制剂)。","西姆莱斯有限公司","https://www.wanxiangyun.net/search/detail?id=cn200980159616","2012","","",""
"一类自组装短肽,其在广谱疫苗及生物医学中的用途","摘要：本发明公开了一类自组装短肽,其在广谱疫苗及生物医学中的用途,涉及自组装短肽领域,如何提高DCs疫苗和其它类别的肿瘤疫苗的有效性,如何降低抗药性,及如何获得稳定、安全、效果更好的疫苗或载体,此外还解决了玻尿酸及同类产品不能原位激活胶原新生的问题,包括两个短肽:Arg Leu Asp Ile Lys Val Glu Phe Cys Cys,Arg Gln Asp Thr Lys Thr Glu Tyr Cys Cys;2种新的自组装短肽,表现出良好的抗肿瘤功能,不仅应用于肿瘤疫苗,也可作为病毒疫苗、药物方面的载体;还可用于细胞、类器官的三维培养,组织的创伤修复,止血材料等;制备的新型自组装短肽类“超级玻尿酸”系统不需要频繁皮肤注射。","成都赛恩贝外科学研究院","https://www.wanxiangyun.net/search/detail?id=cn202111123602","2021","","",""
"减少皮肤刺痛感受","摘要：本发明属于含有至少一种在皮肤上产生刺痛、戳痛、发麻和灼烧感受等副作用的活性剂的化妆品领域。本发明特别涉及喷雾干燥的组合物以及这种含有所述刺痛、戳痛、发麻和灼烧活性剂的喷雾干燥组合物用于减小和/或抑制皮肤刺痛、戳痛、发麻和灼烧感受的方法和用途。","西姆莱斯股份公司","https://www.wanxiangyun.net/search/detail?id=cn201580085585","2018","","",""
"3D打印外敷膜的方法、3D打印外敷膜及外敷膜组件","摘要：本发明实施例涉及3D打印外敷膜的方法、3D打印外敷膜及外敷膜组件,所述方法包括以下步骤:基于待护理区域的几何信息,提供基底层,所述基底层用于吸附护理成分;基于待护理区域的肤质信息,以3D打印方式在基底层上施加一种或多种基础护理成分。该方法基于3D打印方法能够制备满足用户的个性化需求的面膜、皱纹膜、妊娠膜等外敷膜。","上普(北京)生物科技有限公司","https://www.wanxiangyun.net/search/detail?id=cn201910420832","2019","","",""
"皮肤外用剂和化妆料","摘要：本发明的目的是提供制剂稳定性优异的配合有支链型酰基肉碱的皮肤外用剂和化妆料。本发明的皮肤外用剂的特征在于,含有下述式(1)所示肉碱衍生物和/或下述式(2)所示肉碱衍生物的盐、以及两性表面活性剂。(式(1)中,R1和R2各自独立地表示可以具有支链的碳原子数1~18的饱和或不饱和的脂肪族烃基。式(2)中,R1和R2与式(1)中含义相同,X-表示特定的阴离子,Y+表示特定的阳离子)。","昭和电工株式会社","https://www.wanxiangyun.net/search/detail?id=cn200880123183","2010","","",""
"乳化皮肤外用剂和化妆料","摘要：本发明的目的是提供乳化稳定性优异的配合有支链型酰基肉碱的乳化皮肤外用剂和化妆料。本发明的乳化皮肤外用剂的特征在于,含有下述式(1)所示肉碱衍生物和/或下述式(2)所示肉碱衍生物的盐0.01~10质量%、以及非离子系表面活性剂0.01~20质量%。(式(1)中,R1和R2各自独立地表示可以具有支链的碳原子数1~18的饱和或不饱和的脂肪族烃基。式(2)中,R1和R2与式(1)中含义相同,X-表示特定的阴离子,Y+表示特定的阳离子)。","昭和电工株式会社","https://www.wanxiangyun.net/search/detail?id=cn200880123184","2010","","",""
"包含夹带于破裂的聚合微球中的颜料颗粒的组合物及其制造方法","摘要：提供了含有夹带在微球中的颜料颗粒的局部组合物。每个微球含有破裂的聚合壳,所述聚合壳其中夹带了一个或多个颜料颗粒。微球夹带的颜料颗粒的特征在于增强的颜色强度、提高的稳定性和较好的分散性,其可容易地单独或者结合其它皮肤活性成分使用来形成较好的彩色化妆品。","ELC管理有限责任公司","https://www.wanxiangyun.net/search/detail?id=cn201180013409","2012","","",""
"包含包封在交联硅酮基质中的固体粒子的组合物及其制造方法","摘要：本发明涉及含有通过包封到交联硅酮基质中而稳定化的固体粒子的局部组合物。该稳定化粒子具有足以防止该粒子渗入皮肤的电势。该粒子容易独自或与其它护肤活性剂结合使用以形成具有改进的稳定性和性能的局部组合物⊙","ELC管理有限责任公司","https://www.wanxiangyun.net/search/detail?id=cn201380036884","2015","","",""
"异山梨醇酯和N 酰化氨基酸衍生物作为用于人皮肤的抗老化剂的用途","摘要：本发明涉及具有式(I)的化合物或者组合物(C1)的用途,在式(I)中,R’和R”可以相同或不同,表示或者氢原子或者具有式(IIa)的单价基团,该组合物(C1)包含按质量计在99%与20%之间的具有式(Ia)的化合物以及按质量计在1%与80%之间的具有式(Ib)的化合物,其目的是防止或延迟出现人皮肤或嘴唇的老化的迹象或者消除所述迹象,所述用途是处于化妆品组合物的形式。本发明还涉及一种使用具有式(I)的产品或组合物(C1)的方法①","化工产品开发公司SEPPIC","https://www.wanxiangyun.net/search/detail?id=cn201580054212","2017","","",""
"【Title of corresponding document：CN102058504A】 Anti-saccharification agent","摘要：本发明提供了佛手提取物的应用，佛手提取物用于生产抗糖化剂、抗衰老剂、皮肤胶原损伤抑制剂，或用于抑制、防止或改善皮肤紧致度或弹性降低或皮肤皱纹的药物","无","https://www.wanxiangyun.net/search/detail?id=hk20110111607","2012","","",""
"【Title of corresponding document：EP1295587A1】 EXTERNAL PREPARATION FOR THE SKIN AND BEAUTIFYING AGENTS","摘要：本发明涉及一种皮肤外用剂，其包含至少一个选自马斯林酸、红二醇、uvaol、白桦酸、白桦醇、其生理上可接受的盐及其衍生物的组的成员。","无","https://www.wanxiangyun.net/search/detail?id=hk20030108983","2004","","",""
"含有白松露提取物的化妆品制备物和其化妆方法","摘要：本发明提供一种从白松露(白块菌(Tuber magnatum))获得提取物用于皮肤化妆用途的方法,可以通过所述方法获得的白松露提取物和包含所述提取物的化妆品组合物。本发明提供减少老化迹象和使皮肤有光泽的方法①","ISP投资有限公司","https://www.wanxiangyun.net/search/detail?id=cn201710244119","2018","","",""
"局部使用至少一种伞形科植物的种子油舒缓反应性皮肤","摘要：至少一种伞形科植物的种子的至少一种油作为可局部施用的化妆品活性成分用于预防或减缓在敏感性人皮肤上出现感觉障碍的用途。","化工产品开发公司SEPPIC","https://www.wanxiangyun.net/search/detail?id=cn201980037309","2021","","",""
"【Title of corresponding document：EP1352637A1】 HAIR GROWTH INHIBITORS AND COMPOSITIONS CONTAINING THE SAME","摘要：毛发生长抑制剂包含至少一种从黄柏皮、鱼腥草、米糠、桑树皮、日本黄连、百里香、桃子、荨麻、金盏花中选择的草药作为活性成分，通过按照常规方法将这些活性成分与其他水相成分和油相成分混合，制备野生玫瑰和薄荷油或其提取物以及各种皮肤外用组合物，例如用于皮肤外部的化妆品组合物","SHISEIDO CO LTD
									;,ISHINO AKIHIRO
									;,YOKOYAMA TOMOKO
									;,TSUDA TAKANARI
									;,HAMADA CHIKA
									;,MIZUMOTO DAIGO
									;,TAJIMA MASAHIRO","https://www.wanxiangyun.net/search/detail?id=wo2001jp11300","2002","","",""
"一种具有温和清洁作用的多元醇包油凝胶组合物","摘要：本发明公开了一种具有温和清洁作用的多元醇包油凝胶组合物,以所述组合物的总重量计,所述组合物包含:20 70重量%的多元醇;0.4 10重量%的乳化剂;20 80重量%的油脂;其中,所述组合物中各组分之和为100重量%。","上海家化联合股份有限公司","https://www.wanxiangyun.net/search/detail?id=cn201510955731","2017","","",""
"一种冻干粉、溶媒及其应用","摘要：本发明属于化妆品技术领域,具体公开了一种含干细胞上清液和小分子多肽的冻干粉,一种包含透皮促渗剂的溶媒,以及包含上述冻干粉和溶媒的化妆品套装。本发明所制备的冻干粉通过干细胞上清液与小分子多肽的复配,使两者发挥协同增效作用,使得所制备的冻干粉具有显著的延缓衰老、淡化细纹、保湿嫩肤等功效;本发明用于溶解冻干粉的溶媒特异性地含有透皮促渗剂,通过透皮促渗剂来促进冻干粉中的细胞因子、小分子多肽等活性成分渗透到真皮层,从而更进一步地提高本发明产品的护肤效果。本发明通过将冻干粉和溶媒独立包装,延长了产品的保质期,并且冻干粉中无防腐剂,有效保证了冻干粉中的活性组分不受影响。","斯微(上海)生物科技有限公司","https://www.wanxiangyun.net/search/detail?id=cn201910609211","2019","","",""
"外用皮肤护理制剂","摘要：本发明公开一种通过刺激真皮和表皮细胞中有助于将真皮层连接到表皮层的蛋白质和酶的产生来增加人皮肤中真皮-表皮连接的完整性的外用皮肤制剂及其使用方法。所述组合物包含有效量的含有刺阿干树仁提取物和西葫芦籽提取物的植物提取物的组合;和有效量的含有丝氨酸和脯氨酸的氨基酸的组合⊙","玫琳凯有限公司","https://www.wanxiangyun.net/search/detail?id=cn201180019958","2013","","",""
"植物性抗痤疮制剂","摘要：本发明涉及植物性抗痤疮制剂。公开了局部皮肤护理组合物以及其相应的使用方法,所述组合物包含牛蒡根提取物、柳兰提取物或葇荑囊链藻/Caespitosa Brachycarpa提取物,或者其任意组合。","玫琳凯有限公司","https://www.wanxiangyun.net/search/detail?id=cn201610154103","2016","","",""
"含有缬草提取物的组合物","摘要：提出一种含有缬草提取物或其衍生物的药物组合物,其特别可作为皮脂生成调节剂通过施加相对活性用于影响皮脂腺代谢并通过调节脂肪代谢影响皮下脂肪生成。","库泰克有限责任公司","https://www.wanxiangyun.net/search/detail?id=cn201680022900","2018","","",""
"化妆料、皮肤外用剂、以及医疗用仪器","摘要：本发明的课题是提供在肌肤表面的延展性和对皮肤的亲和性被改善、且无发粘和聚集少这样的使用感被改善的化妆料或皮肤外用药、以及医疗用仪器。作为本发明的解决问题的方法是,提供化妆料或皮肤外用剂、以及医疗用仪器,其特征在于,含有包含式(1)所示的低分子脂质肽或其可药用的盐的至少1种脂质肽型胶凝剂。(式(1)中,R1~R3表示有机基。)。","日产化学工业株式会社","https://www.wanxiangyun.net/search/detail?id=cn201510303640","2015","","",""
"CNP环状胜肽及含此环状胜肽之医药品、外用剂及化粧品","摘要：本发明的目的是提供一种药效、效能的效果发现快，缓解维持期长的新型胜肽，包含此的医药或外用剂，特别是对於皮肤炎、皮肤刺激、鼻炎、脱发症、毛发稀疏的预防或治疗剂或发毛剂、生发剂、止痒剂、护肤用品等。本发明藉由提供一种环状胜肽或其衍生物或药学上可容许这些的盐，以达成上述目的，其中该环状胜肽具有以式I表示的胺基酸序列，该胺基酸序列不具有构成该胺基酸序列的胺基酸以外的肽键。","五十洲股份有限公司","https://www.wanxiangyun.net/search/detail?id=tw20160124367","2017","","",""
"环状胜肽及含该环状胜肽之药物、外用剂及化粧品","摘要：本发明的目的在於提供一种药效、效能强的新胜肽，及含该胜肽的药物或外用剂，尤其提供对於皮肤炎、鼻炎、秃发症的预防或治疗剂、或生发剂、育发剂、止痒剂、皮肤保养用品等。本发明提供一种环状胜肽或其衍生物、或者该环状胜肽或其衍生物的药学上可容许的盐，其具有式1所示的胺基酸序列，且该胺基酸序列不具有构成该胺基酸序列的胺基酸彼此以外的胜肽键，藉此达成上述目的。","五十洲股份有限公司","https://www.wanxiangyun.net/search/detail?id=tw20160116780","2017","","",""
"CNP环肽以及含有该环肽的药物、外用剂和化妆品","摘要：本发明的目的在于,提供药效、效能的效果显现快且缓解维持期长的新型肽,含有其的药物、外用剂,特别是对于皮炎、皮肤粗糙、鼻炎、秃发症、薄发的预防或治疗剂、生发剂、育发剂、止痒剂、护肤用品等。本发明通过提供具有式I所示的氨基酸序列,该氨基酸序列不具有构成该氨基酸序列的氨基酸之间以外的肽键的环肽或其衍生物或者它们的可药用盐来达成上述目的。","IGISU株式会社","https://www.wanxiangyun.net/search/detail?id=cn201680044609","2019","","",""
"环肽以及含有该环肽的药物、外用剂和化妆品","摘要：本发明的目的在于,提供药效、效能强的新型肽,含有其的药物、外用剂,特别是对于皮炎、鼻炎、秃发症的预防或治疗剂、生发剂、育发剂、止痒剂、护肤用品等。本发明通过提供具有式I所示的氨基酸序列,该氨基酸序列不具有构成该氨基酸序列的氨基酸之间以外的肽键的环肽或其衍生物或者它们的可药用盐来达成上述目的。","IGISU株式会社","https://www.wanxiangyun.net/search/detail?id=cn201680031367","2018","","",""
"皮肤屏障功能改善剂和皮肤屏障功能改善用组合物","摘要：本发明涉及含有肌醇和糖结合而得的肌醇衍生物作为有效成分的皮肤屏障功能改善剂、以及含有上述皮肤屏障功能改善剂和药学上可接受的载体的皮肤屏障功能改善用组合物。","昭和电工株式会社","https://www.wanxiangyun.net/search/detail?id=cn201580057943","2017","","",""
